"Campo","Valor"
"Nome","Projeto"
"Data de Criação","2025-03-17"
"Percentual de Impostos","0.15"
"Percentual de Lucro","0.15"
"Funcionalidades Web/Backend","Nome","Dias Estimadas"
"","Contas Multi-tenant","3"
"","Notificações Push (Push Notifications)","0"
"Funcionalidades iOS","Nome","Dias Estimadas"
"","Contas Multi-tenant","0"
"","Notificações Push (Push Notifications)","3"
"Funcionalidades Android","Nome","Dias Estimadas"
"","Contas Multi-tenant","0"
"","Notificações Push (Push Notifications)","3"
"Custos Adicionais","Descrição","Valor"
"","Custo com hardware e instalações físicas.","1500.0"
"","Custo com softwares.","6000.0"
"","Custo com riscos.","1500.0"
"","Custo com garantia.","0.0"
"","Fundo de reserva","2000.0"
"","Outros custos.","2000.0"
"Estimativa do Projeto",""
"Custo Total","126000.0"
"Tempo Total (em dias)","378"
"Preço Final","176800.0"
